Date,ARG,BRA,ESP,FRA,GER,ITA
08-08-93,5,8,13,12,1,2
09-08-93,12,1,14,7,5,2
10-08-93,9,1,7,14,4,3
11-08-93,9,4,7,15,3,1
12-08-93,8,3,5,15,1,2
2-15-94,9,2,6,14,1,7
3-15-94,8,2,6,15,1,11
4-19-94,10,1,7,15,2,13
